n_vertex, run_0, run_1, run_2, run_3, run_4
5, -1.000, -1.000, -1.000, -1.000, -1.000
22, -1.000, -1.000, -1.000, -1.000, -1.000
100, -1.000, -1.000, -1.000, -1.000, -1.000
