n_vertex, run_0, run_1, run_2, run_3, run_4
5, 0.012, 0.019, 0.020, 0.021, 0.028
22, 0.203, 0.115, 0.180, 0.225, 0.253
100, 0.591, 0.774, 0.999, 1.290, 1.749
